name,price
三田,570
大門,570
新橋,570
東銀座,610
宝町,610
日本橋,610
人形町,610
東日本橋,610
浅草橋,610
蔵前,610
浅草,660
本所吾妻橋,660
押上（スカイツリー前）,660
高輪台,570
五反田,570
戸越,570
中延,610
馬込,610
西馬込,610
都庁前,660
新宿西口,660
東新宿,660
若松河田,660
牛込柳町,660
牛込神楽坂,660
飯田橋,660
春日,610
本郷三丁目,660
上野御徒町,660
新御徒町,660
蔵前,660
両国,660
森下,610
清澄白河,610
門前仲町,610
月島,610
勝どき,610
築地市場,610
汐留,570
大門,570
赤羽橋,570
麻布十番,610
六本木,610
青山一丁目,610
国立競技場,610
代々木,660
新宿,660
西新宿五丁目,660
中野坂上,660
東中野,660
中井,660
落合南長崎,710
新江古田,710
練馬,710
豊島園,710
練馬春日町,760
光が丘,760
目黒,610
白金台,570
白金高輪,570
三田,570
芝公園,570
御成門,570
内幸町,570
日比谷,610
大手町,610
神保町,610
水道橋,610
春日,610
白山,660
千石,660
巣鴨,660
西巣鴨,660
新板橋,660
板橋区役所前,660
板橋本町,710
本蓮沼,710
志村坂上,710
志村三丁目,710
蓮根,710
西台,760
高島平,760
新高島平,760
西高島平,760
新宿,660
新宿三丁目,660
曙橋,660
市ヶ谷,610
九段下,610
神保町,610
小川町,610
岩本町,610
馬喰横山,610
浜町,610
森下,610
菊川,660
住吉,660
西大島,660
大島,660
東大島,660
船堀,710
一之江,710
瑞江,710
篠崎,710
本八幡,760
